main_category,name,mid_category,district,address,green_area,green_length,lat,lon
green,간촌인근,공원,서울특별시 노원구,서울특별시 노원구 상계5동 156-66,41,,37.6543741,127.0563321
green,우남아파트앞,공원,서울특별시 노원구,서울특별시 노원구 월계1동 494-9,43,,37.6543741,127.0563321
green,도원극장옆마을마당,공원,서울특별시 은평구,서울특별시 은평구 녹번동 74-5,48.8,,37.60152,126.9299
green,한옥마을소공원,공원,서울특별시 은평구,서울특별시 은평구 진관동 211-34,58.7,,37.64262,126.9396
green,계상초인근,공원,서울특별시 노원구,서울특별시 노원구 상계5 434-8,62,,37.6543741,127.0563321
green,삼청,공원,서울특별시 성북구,서울특별시 성북동 산25-52,73.6,,37.58944,127.0168
green,두레어린이공원,공원,서울특별시 송파구,서울특별시 송파구 마천동 364-5 일대,75,,37.49433,127.1561
green,상계3,공원,서울특별시 노원구,서울특별시 노원구 상계3 107-1861,76,,37.6543741,127.0563321
green,순복음교회뒤,공원,서울특별시 노원구,서울특별시 노원구 상계2동 178-18,76,,37.655879,127.0688362
green,순복음목재소,공원,서울특별시 노원구,서울특별시 노원구 상계2 330-41,77,,37.6543741,127.0563321
green,신당제11구역2공원,공원,서울특별시 중구,서울특별시 중구 신당동 85-288,77,,37.56331,127.0251
green,도곡동426-9(로덴하우스)소공원,공원,서울특별시 강남구,서울특별시 강남구 도곡동 462-9,80,,37.4855986,127.046055
green,구의가로휴식공원,공원,서울특별시 광진구,서울특별시 광진구 구의동 589-4,95.2,,37.5364654,127.0932814
green,돌무데기,공원,서울특별시 송파구,서울특별시 송파구 마천동 375,97.6,,37.49204,127.1551
green,오장골,공원,서울특별시 노원구,서울특별시 노원구 상계5 445-2,99,,37.6543741,127.0563321
green,공릉2(산업대앞),공원,서울특별시 노원구,서울특별시 노원구 공릉2 462-14,103,,37.6543741,127.0563321
green,중계본동보호수근처,공원,서울특별시 노원구,서울특별시 노원구 중계본 58-35,105,,37.6543741,127.0563321
green,쌍문4동(1),공원,서울특별시 도봉구,서울특별시 도봉구 쌍문동 259-6,108,,37.6569194,127.0280233
green,월계현대아파트앞,공원,서울특별시 노원구,서울특별시 노원구 월계1 76-1,108,,37.6543741,127.0563321
green,현대초입,공원,서울특별시 노원구,서울특별시 노원구 상계3동 107-1798,110,,37.6675385,127.0791867
green,목련1,공원,서울특별시 노원구,서울특별시 노원구 하계 167-12,112,,37.6543741,127.0563321
green,산성미소지움앞,공원,서울특별시 노원구,서울특별시 노원구 공릉2 224-18,113,,37.6543741,127.0563321
green,서소문제5지구공원,공원,서울특별시 중구,서울특별시 중구 서소문동 119,117.5,,37.56285,126.9753
green,삼육,공원,서울특별시 관악구,서울특별시 관악구 봉천동 661-118,119,,37.4879683,126.9343051
green,도로개설잔여부휴게공원,공원,서울특별시 도봉구,서울특별시 도봉구 방학1동 725-31,121,,37.6613732,127.0504859
green,샘터어린이공원2,공원,서울특별시 마포구,서울특별시 마포구 중동 36-34,123,,37.569909,126.9067405
green,대조동청사옆마을마당,공원,서울특별시 은평구,서울특별시 은평구 대조 214-8,130.3,,37.60277,126.9289
green,별빛1,공원,서울특별시 노원구,서울특별시 노원구 공릉 690-1,132.5,,37.6543741,127.0563321
green,구산초교앞마을마당,공원,서울특별시 은평구,서울특별시 은평구 구산동 153-2,135,,37.61179,126.91
green,상계5동쌈지마당,공원,서울특별시 노원구,서울특별시 노원구 상계5 167-18,137,,37.6543741,127.0563321
green,오손길마을마당,공원,서울특별시 은평구,서울특별시 은평구 응암동 365-30,139,,37.59187,126.9183
green,학골,공원,서울특별시 도봉구,서울특별시 도봉구 방학동 735-4,149,,37.6617933,127.0367323
green,연천내,공원,서울특별시 노원구,서울특별시 노원구 월계 411-50,152,,37.6543741,127.0563321
green,구산동마을공원확대,공원,서울특별시 은평구,서울특별시 은평구 구산동 345-6,157,,37.6149,126.9078
green,미성2,공원,서울특별시 관악구,서울특별시 관악구 신림동 762-2,159,,37.4771579,126.9137687
green,무수울소공원,공원,서울특별시 도봉구,서울특별시 도봉구 도봉동 470,161,,37.6778347,127.0338156
green,월계2동쌈지(신화연립),공원,서울특별시 노원구,서울특별시 노원구 월계2 912-1,164,,37.6543741,127.0563321
green,자투리(녹번)마을마당,공원,서울특별시 은평구,서울특별시 은평구 녹번 103-23,165,,37.60277,126.9289
green,성사천어린이공원,공원,서울특별시 마포구,서울특별시 마포구 성산동 199-11,166,,37.5653865,126.904871
green,천암공원,공원,서울특별시 강동구,서울특별시 강동구 천호1동 231-14,166,,37.5478482,127.1368943
green,묵동소공원,공원,서울특별시 중랑구,서울특별시 중랑구 묵동 164-26,167,,37.61538,127.0781
green,쌍림동공원,공원,서울특별시 중구,서울특별시 중구 쌍림동 292-2,169,,37.56351,127.0031
green,천호삼거리공원,공원,서울특별시 강동구,서울특별시 강동구 천호1동 21-194,170,,37.5455081,127.1384943
green,신일어린이공원,공원,서울특별시 영등포구,서울특별시 영등포구 신길1동 455-1,173,,37.51006,126.9222
green,신사2동마을마당,공원,서울특별시 은평구,서울특별시 은평구 신사 200-170,175,,37.60277,126.9289
green,장군봉,공원,서울특별시 관악구,서울특별시 관악구 신림동 94-252,175,,37.478117,126.9389901
green,나누리,공원,서울특별시 노원구,서울특별시 노원구 상계5 456-145,178,,37.6543741,127.0563321
green,다우리,공원,서울특별시 노원구,서울특별시 노원구 상계5 430-19,180,,37.6543741,127.0563321
green,쌍문1동,공원,서울특별시 도봉구,서울특별시 도봉구 쌍문동 490-27,180,,37.6545787,127.0163016
green,반달6,공원,서울특별시 동작구,서울특별시 동작구 사당동 233-12,182,,37.4835094,126.9679501
green,후암어린이공원,공원,서울특별시 용산구,서울특별시 용산구 후암동 406-80,182,,37.54721,126.9837
green,서계가로어린이공원,공원,서울특별시 용산구,서울특별시 용산구 서계동 276-7,183,,37.55129,126.9642
green,대조마을마당,공원,서울특별시 은평구,서울특별시 은평구 대조 48-42,183.5,,37.60277,126.9289
green,안골2,공원,서울특별시 중랑구,서울특별시 중랑구 신내1 474-33,184,,37.60674,127.0929
green,미림,공원,서울특별시 관악구,서울특별시 관악구 신림동 254-256,185,,37.4665503,126.9352988
green,천상병공원,공원,서울특별시 노원구,서울특별시 노원구 상계동 996-27,197,,37.674346,127.059159
green,아랫바람,공원,서울특별시 송파구,서울특별시 송파구 풍납동 306-9,198,,37.53235,127.1122
green,열림2,공원,서울특별시 성동구,서울특별시 성동구 성수2가1동 327-3,198,,37.53952,127.0568
green,주민소통공간,공원,서울특별시 노원구,"서울특별시 노원구 상계5동 156-147,16",198,,37.6628638,127.0713445
green,저동2공원,공원,서울특별시 중구,서울특별시 중구 을지로2가 203-4,200,,37.56526,126.9889
green,방학1동,공원,서울특별시 도봉구,서울특별시 도봉구 방학동 265-4,203,,37.6614631,127.037122
green,신사마을마당,공원,서울특별시 은평구,서울특별시 은평구 불광1 247,203,,37.60277,126.9289
green,꽃담길,공원,서울특별시 동작구,서울특별시 동작구 상도동 25-8,206,,37.5054645,126.9420981
green,영락,공원,서울특별시 관악구,서울특별시 관악구 봉천동 1555-16,206,,37.4768265,126.9438021
green,저동1공원,공원,서울특별시 중구,서울특별시 중구 을지로2가 203-1,210,,37.56597,126.9896
green,흰구름1,공원,서울특별시 강북구,서울특별시 강북구 수유2동 252-16,214,,37.6459638,127.020506
green,이화2,공원,서울특별시 중랑구,서울특별시 중랑구 면목3·8 30-38,215,,37.60674,127.0929
