행정구역,재활용률(t/일),재활용품센터,비닐봉투_분리배출
부산광역시 강서구,0.8589157413,1,전지역
부산광역시 금정구,0.8493562232,1,전지역
부산광역시 기장군,0.6795069337,1,전지역
부산광역시 남구,0.8309919115,1,전지역
부산광역시 동구,0.8062432723,1,전지역
부산광역시 동래구,0.7961504812,1,전지역
부산광역시 부산진구,0.8077664555,1,전지역
부산광역시 북구,0.8219022357,1,전지역
부산광역시 사상구,0.8367427223,1,전지역
부산광역시 사하구,0.8386141546,1,전지역
부산광역시 서구,0.7841788478,1,전지역
부산광역시 수영구,0.8417068135,1,전지역
부산광역시 연제구,0.8530351438,1,전지역
부산광역시 영도구,0.8481012658,1,전지역
부산광역시 중구,0.6629766298,1,전지역
부산광역시 해운대구,0.7523340249,1,전지역
서울특별시 강남구,0.5889715832,1,전지역
서울특별시 강동구,0.6742081448,1,전지역
서울특별시 강북구,0.6978503185,1,안함
서울특별시 강서구,0.7444110777,1,일부지역
서울특별시 관악구,0.7204968944,1,전지역
서울특별시 광진구,0.7583108715,1,전지역
서울특별시 구로구,0.5237366003,0,전지역
서울특별시 금천구,0.6906173701,0,전지역
서울특별시 노원구,0.6536400882,1,안함
서울특별시 도봉구,0.6395247754,1,전지역
서울특별시 동대문구,0.7256809339,1,전지역
서울특별시 동작구,0.7130627774,0,안함
서울특별시 마포구,0.5987434555,0,전지역
서울특별시 서대문구,0.6101624323,1,전지역
서울특별시 서초구,0.5884005619,1,전지역
서울특별시 성동구,0.6974595843,1,전지역
서울특별시 성북구,0.7422569351,1,전지역
서울특별시 송파구,0.7483296214,1,전지역
서울특별시 양천구,0.6499413146,1,안함
서울특별시 영등포구,0.6383896477,1,전지역
서울특별시 용산구,0.6507208388,1,전지역
서울특별시 은평구,0.6094850949,1,전지역
서울특별시 종로구,0.6460723742,0,전지역
서울특별시 중구,0.5421803239,1,전지역
서울특별시 중랑구,0.6750378215,1,안함
제주특별자치도 서귀포시,0.6816720257,1,전지역
제주특별자치도 제주시,0.5957224224,1,전지역
