도서관명,행정구역,주소
EG글숲 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 정관1로 18, (이지 더원1차 아파트)108동 내"
GRACE작은도서관,부산광역시 연제구,"부산광역시 연제구 중앙천로 4, (연산동)3층"
Gateway 작은도서관,부산광역시 금정구,"부산광역시 금정구 동현로 122, (서동)동신교회 2층"
LG메트로작은쌈지도서관,부산광역시 남구,"부산광역시 남구 신선로 566-2, (용호동)용호동현장민원실4층"
NFBook,부산광역시 수영구,"부산광역시 수영구 광일로 27, (광안동)6층"
e-편한세상 작은도서관,부산광역시 수영구,부산 수영구 망미동좌수영로 192 수영강변3차 e편한세상APT
닑다작은도서관,부산광역시 중구,"부산광역시 중구 대청로 61-2, (보수동1가)보수동책방골목문화관 6층 ？다 작은도서관"
가락동새마을문고회,부산광역시 강서구,"부산광역시 강서구 가락대로 1476, (죽림동)가락동 행정복지센터"
가람뫼푸른꿈작은도서관,부산광역시 서구,"부산광역시 해운대구 재반로226번길 72, (반여동, 현대일성아파트)현대일성아파트상가 202호"
가야감고개공원작은도서관,부산광역시 부산진구,"부산광역시 부산진구 가야대로548번길 109, (가야동)가야감고개공원작은도서관"
가온길 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 정관4로 68, (정관 협성르네상스 타운)관리동내(102동 옆)"
가화더테라스Ⅱ 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 구연방곡로 106, (가화만사성 더 테라스 2차)주민공동시설 2층"
가화일광타워 작은도서관,부산광역시 기장군,"부산광역시 기장군 일광면 이천10길 37, (가화일광타워)관리동 1층"
감만꿈터,부산광역시 남구,"부산광역시 남구 우암로 84-1, (감만동)감만종합사회복지관"
감천횃불작은도서관,부산광역시 사하구,"부산광역시 사하구 감내1로175번길 50, (감천동)1층"
갯마을 작은도서관,부산광역시 기장군,"부산광역시 기장군 일광면 삼성3길 17, 임해행정봉사실 내"
거제2동새마을문고작은도서관,부산광역시 연제구,부산 연제구 거제2동아시아드대로22번길 15(거제동)
고맙습니다 보물섬 작은도서관,부산광역시 사상구,"부산광역시 사상구 모라로110번길 129, (모라동)모라종합사회복지관 2층"
