id,mid_category,store_name,sub_category,district,address,lon,lat
424,vegan,빵굽는언니 요리하는동생,먹거리_식당,부산광역시 강서구,부산광역시 강서구 명지국제8로 234,128.9183831,35.09786101
425,vegan,빵긋한하루,먹거리_카페_디저트,부산광역시 강서구,부산광역시 강서구 명지국제6로 228,128.922984,35.095801
426,vegan,고준희베이커리,먹거리_카페_디저트,부산광역시 금정구,부산광역시 금정구 두실로37번길 43 1층,129.086994,35.2590093
427,vegan,나유타카페,먹거리_카페_디저트,부산광역시 금정구,부산광역시 금정구 수림로61번길 53,129.0855569,35.23743996
428,vegan,러빙헛 금정헤어라떼점,먹거리_식당,부산광역시 금정구,부산광역시 금정구 청룡예전로 100 경동상가 3층,129.0172875,35.11774
429,vegan,보리종파티세리,먹거리_카페_디저트,부산광역시 금정구,부산광역시 금정구 중앙대로 1667 삼신빌딩 1층,129.091352,35.2332066
430,vegan,서문국수,먹거리_식당,부산광역시 금정구,부산광역시 금정구 장전로12번길 32-5,129.088305,35.229132
431,zero,아름다운가게 부산금정점,생활용품,부산광역시 금정구,부산광역시 금정구 금정로233번길 31,129.0908186,35.24610107
432,zero,아름다운가게 부산대점,생활용품,부산광역시 금정구,부산광역시 금정구 장전온천천로 31-2,129.0885079,35.22787835
433,vegan,인디키친,먹거리_식당,부산광역시 금정구,부산광역시 금정구 장전로12번길 50 2층,129.088466,35.2298771
434,vegan,투고샐러드 부산대점,먹거리_식당,부산광역시 금정구,부산광역시 금정구 부산대학로64번길 16,129.08453,35.2324
435,vegan,편한집밥,먹거리_식당,부산광역시 금정구,부산광역시 금정구 금샘로 36,129.0771196,35.22888181
436,vegan,김말자 부산기장점,먹거리_식당,부산광역시 기장군,부산광역시 기장군 일광면 기장대로 673,129.2220968,35.2545944
437,vegan,연당,먹거리_식당,부산광역시 기장군,부산광역시 기장군 장안읍 고무로 271-47 장안읍 길천리,129.276336,35.3360731
438,zero,제로웨이스트 쑥,기타,부산광역시 기장군,부산광역시 기장군 일광면 이천6길 2,129.2349,35.26755
439,vegan,투고샐러드 부산정관점,먹거리_식당,부산광역시 기장군,부산광역시 기장군 정관읍 정관로 579 1층 101호,129.1771781,35.32137251
440,vegan,행복한찹쌀꽈배기 일광점,먹거리_카페_디저트,부산광역시 기장군,부산광역시 기장군 일광면 일광로 133 1층 일광면 이천리,129.236013,35.2666026
441,vegan,가가대소 아빠와소풍,먹거리_카페_디저트,부산광역시 남구,부산광역시 남구 분포로 145,129.1117,35.1341512
442,vegan,마리짱 경성대부경대역점,먹거리_식당,부산광역시 남구,부산광역시 남구 수영로 지하 324,129.1004417,35.13755766
443,vegan,먼지.zip,먹거리_카페_디저트,부산광역시 남구,부산광역시 남구 진남로 168,129.078995,35.1417546
444,vegan,미인당,먹거리_카페_디저트,부산광역시 남구,부산광역시 남구 수영로39번나길 53,129.073531,35.1421726
445,vegan,봄베이브로이 부산문현점,먹거리_식당,부산광역시 남구,부산광역시 남구 문현금융로 40 3층,129.065761,35.14682
