main_category,id,trans_name,sub_category,district,공백 제거,address,lon,lat
trans,1,강동구청 성내3동주민센타,전기차충전소,서울특별시 강동구,서울특별시 강동구,서울특별시 강동구 강동대로 53길 76,127.132815,37.5260299
trans,2,서울장애인종합복지관,전기차충전소,서울특별시 강동구,서울특별시 강동구,서울특별시 강동구 고덕로 201 야외주차장,127.148326,37.5555282
trans,3,암사1동 공영주차장,전기차충전소,서울특별시 강동구,서울특별시 강동구,서울특별시 강동구 고덕로28길 36 지하1층 좌측,127.137751,37.5528739
trans,4,명일동 공영주차장,전기차충전소,서울특별시 강동구,서울특별시 강동구,서울특별시 강동구 구천면로 395(명일동),127.142851,37.5509398
trans,5,명성교회A,전기차충전소,서울특별시 강동구,서울특별시 강동구,서울특별시 강동구 구천면로 452 BS EPS실 앞,127.147509,37.5485465
trans,6,강동구청상일동주민센터,전기차충전소,서울특별시 강동구,서울특별시 강동구,서울특별시 강동구 구천면로 633 지하1층주차장(상일동 513-2),127.168279,37.5505732
trans,7,강동구청 길동주민센타,전기차충전소,서울특별시 강동구,서울특별시 강동구,서울특별시 강동구 명일로 229-1,127.146144,37.5392229
trans,8,삼성글로벌엔지니어링,전기차충전소,서울특별시 강동구,서울특별시 강동구,서울특별시 강동구 상일로6길 26 (상일동) 지하4층 B12구역,127.174793,37.5486627
trans,9,천호유수지 공영주차장,전기차충전소,서울특별시 강동구,서울특별시 강동구,서울특별시 강동구 선사로 70 입구 좌측 끝,127.12186,37.5447733
trans,10,강동구청,전기차충전소,서울특별시 강동구,서울특별시 강동구,서울특별시 강동구 성내로 25,127.12367,37.5300762
trans,11,서울시 강동구 강동소방서,전기차충전소,서울특별시 강동구,서울특별시 강동구,서울특별시 강동구 성내로 39 주차장,127.125049,37.529444
trans,12,강동수도사업소,전기차충전소,서울특별시 강동구,서울특별시 강동구,서울특별시 강동구 성내로 51,127.12601,37.5290016
trans,13,강동역두산위브센티움아파트,전기차충전소,서울특별시 강동구,서울특별시 강동구,서울특별시 강동구 성안로 155,127.134747,37.5372091
