,shop,park,trail,library,book,bike,car,recycle,re_center,vinyl,budget
부산광역시 강서구,0.00000001101955811,0.006484944934,0.0000008198551236,0.0000001542738136,0.00000002203911622,0.00000001101955811,0.00000006611734867,0.859,1,2,0.049
부산광역시 금정구,0.0000001532285156,0.03579414294,0.000004891054219,0.0000005362998047,0.00000003064570313,0.00000001532285156,0.0000004290398438,0.849,1,2,0.035
부산광역시 기장군,0.00000002290468943,0.0397515773,0.000002064170612,0.0000003115037763,0.000000004580937886,0.000000004580937886,0.00000008245688196,0.680,1,2,0.038
부산광역시 남구,0.0000003728660179,0.06474755013,0.000006126188674,0.00000145417747,0.00000007457320357,0,0.00000003728660179,0.831,1,2,0.039
부산광역시 동구,0.000000202744738,0.09887414833,0.00000349734673,0.000001419213166,0,0.000000101372369,0.000000101372369,0.806,1,2,0.043
부산광역시 동래구,0.0000006012755098,0.2510162608,0.00000551970918,0.000001743698978,0.000000120255102,0.00000006012755098,0.0000001803826529,0.796,1,2,0.038
부산광역시 부산진구,0.0000006741375261,0.1569205088,0.000002083084956,0.0000002696550105,0.00000003370687631,0,0.00000003370687631,0.808,1,2,0.031
부산광역시 북구,0.0000001778015795,0.02340878953,0.000002331740714,0.0000009652085743,0.00000002540022564,0.00000002540022564,0.00000007620067692,0.822,1,2,0.028
부산광역시 사상구,0.00000005539989109,0.01953198227,0.000001878056308,0.000000609398802,0,0.00000002769994555,0.00000002769994555,0.837,1,2,0.034
부산광역시 사하구,0.00000004788024805,0.01256532362,0.00001659577278,0.0000003591018604,0.0000000957604961,0.00000002394012403,0.0000006942635968,0.839,1,2,0.036
부산광역시 서구,0.0000002866093257,0.217234435,0.00001037525759,0.000002149569943,0,0,0.00000007165233142,0.784,1,2,0.060
부산광역시 수영구,0.000004014608082,0.01249298056,0.000007402545634,0.000001958345406,0.0000003916690811,0.00000009791727029,0.0000002937518109,0.842,1,2,0.038
부산광역시 연제구,0.0000005785346775,0.006349343702,0.00001002724568,0.000001157069355,0.0000001652956221,0.00000008264781106,0.0000003305912443,0.853,1,2,0.035
부산광역시 영도구,0.00000007042353701,0.1801235482,0.000009549431619,0.000001126776592,0,0.00000007042353701,0.000001197200129,0.848,1,2,0.028
부산광역시 중구,0.000002477183372,0.1061830497,0.00002236542701,0.00000601601676,0.000001769416694,0,0.0000007077666776,0.663,1,2,0.042
부산광역시 해운대구,0.0000006213260095,0.05621903746,0.00000356485798,0.000001164986268,0.0000001359150646,0.0000000194164378,0.00000007766575119,0.752,1,2,0.042
서울특별시 강남구,0.00000374673983,0.05434279297,0.000005835800443,0.000001189843054,0.0000001265790483,0.000003037897159,0.0000009113691478,0.589,1,2,0.081
서울특별시 강동구,0.000001341982751,0.07868869985,0.000009715955118,0.000001992641055,0.0000001219984319,0.000004513941981,0.0000006913244475,0.674,1,2,0.056
